"year","week","cos_pi","cos_pi_2","cos_pi_3","cos_pi_4","sin_pi","sin_pi_2","sin_pi_3","sin_pi_4","Afghanistan","Angola","Bangladesh","Benin","Bhutan","Burkina.Faso","Burundi","Cambodia","Central.African.Republic","Chad","Democratic.Republic.of.the.Congo","Djibouti","Eritrea","Ethiopia","Gambia","Guinea","Guinea.Bissau","Haiti","Laos","Lesotho","Liberia","Madagascar","Malawi","Mali","Mozambique","Nepal","Niger","Rwanda","Somalia","South.Sudan","Sudan","Togo","Uganda","United.Republic.of.Tanzania","Zambia","Yemen"
1992,24,-0.970941817426052,0.88545602565321,-0.748510748171101,0.568064746731156,0.239315664287558,-0.464723172043768,0.663122658240796,-0.822983865893656,29.79158763889,28.8970100517348,34.2747821128819,31.9572610138716,20.0877357676779,37.6358915483439,28.561522016862,31.5889079086024,33.520548798286,40.4762801301721,30.0756155279063,40.3201124590373,28.4203206335181,24.2524445850107,35.9938745140659,32.0317344219442,33.922432665453,30.4263495779911,34.2939021006965,19.2894256141509,31.7729455410033,24.0001996150941,25.5165078549731,36.770462260513,29.2966102913414,35.7019116412149,40.0795803301182,27.2050462424318,31.7304240043843,33.3560560470185,42.5391421894422,31.7168171837877,27.216327207838,30.3772422858682,25.4485413569977,30.1391751252109
1992,25,-0.992708874098054,0.970941817426052,-0.935016242685415,0.88545602565321,0.120536680255323,-0.239315664287558,0.354604887042536,-0.464723172043769,30.4923566553215,28.3730805883918,33.9684226821299,31.4918254717987,20.2428190761687,36.8787375526164,28.5811885278611,31.278768343036,33.1523925481447,39.6575156125037,29.6719538272049,40.7120886134883,27.9578109395825,23.6214343413435,35.4660650421554,31.5495188724776,33.3836213882997,30.6491521126873,34.0890732029477,18.9602690015158,31.3445726950288,23.6048483821106,25.1371896096937,35.9276578805634,29.1088556247003,35.3320817801449,39.2712012158545,27.3107844933746,31.4485261472735,33.065387533605,41.972616404989,31.2486251831703,27.1668556811558,30.1518032588526,25.1587219185693,30.2525038182718
1992,26,-1,1,-1,1,-3.21628574467825e-16,6.4325714893565e-16,3.67381906146713e-16,1.2865142978713e-15,31.0360366145335,27.8987330381226,33.6734198957862,31.0385220936049,20.2999894669668,36.1502261315869,28.6111179816074,31.0354900547666,32.8244420308735,38.7344446632642,29.4017202836403,40.960454930497,27.3560630504723,22.9957950000664,34.9489536274022,31.0953240438153,32.8659127045066,30.8631046078978,33.9521101595146,18.7918362267458,30.9203037913088,23.3191002335529,24.8590918056698,35.1210714084047,28.9948991266987,34.9591695725582,38.445525398017,27.4147059997605,31.1789988935743,32.7663836760863,41.3189526057264,30.8003273490357,27.1246027214543,29.941735990515,24.9947697663272,30.2590891564587
1992,27,-0.992708874098054,0.970941817426052,-0.935016242685415,0.88545602565321,-0.120536680255323,0.239315664287557,-0.354604887042535,0.464723172043768,31.4092509662826,27.495698132195,33.4135173340571,30.6298191330633,20.2801982917746,35.4763541515871,28.6651941306606,30.8637615444345,32.5658264768404,37.7428287625664,29.2853069578439,41.0734193008902,26.6857312990519,22.4257023922596,34.4640138986052,30.6958677701029,32.3918700356851,31.0601173849592,33.8640094935432,18.8059387295344,30.5227851485885,23.1564309539647,24.7209887541687,34.3879970573691,28.9780379028761,34.6170998848184,37.6409805532327,27.5231762870236,30.9310560356903,32.4791157643894,40.6259677105855,30.4013214607899,27.0939363696199,29.7748394030302,24.9875103255184,30.1815715113925
1992,28,-0.970941817426052,0.88545602565321,-0.748510748171101,0.568064746731157,-0.239315664287557,0.464723172043768,-0.663122658240795,0.822983865893656,31.6058145717891,27.1795353912331,33.2098809171758,30.293583118184,20.2144066881002,34.8776896915933,28.7577419337595,30.7582579516444,32.3968423966614,36.735217998419,29.327505976936,41.070700570869,26.0309648720045,21.9546862343827,34.0292888895261,30.3736810025655,31.9818714556124,31.2323035703443,33.8034311875895,19.0161910096705,30.1744080662201,23.1222066347281,24.7471141538241,33.7558934797764,29.0809835054614,34.3354951720406,36.8960746161794,27.6433718651492,30.7196385834417,32.2295583434304,39.9487488311015,30.0751542045467,27.0795816199998,29.6760917955878,25.1557678845296,30.0521875144133
1992,29,-0.935016242685415,0.748510748171101,-0.46472317204377,0.120536680255323,-0.354604887042536,0.663122658240795,-0.885456025653209,0.992708874098054,31.6270513050046,26.9587229097242,33.077404952967,30.0487849018345,20.1358552995036,34.3690749262658,28.8999354506013,30.7055783783439,32.3248729831447,35.7770113396394,29.5171967603686,40.9776439117372,25.4740552777606,21.613478206945,33.6577485845645,30.1440789862258,31.6519160484411,31.3722417193162,33.7505806894514,19.4250724261974,29.8950692959254,23.2143996277764,24.943773778482,33.2409570307699,29.3203130205137,34.1348802834985,36.2469992616739,27.7804324849004,30.5631130988675,32.0442608776662,39.3437789748345,29.8367272206233,27.0855387313177,29.6633302791385,25.5039622876282,29.9047352456388
1992,30,-0.88545602565321,0.568064746731157,-0.120536680255325,-0.354604887042534,-0.464723172043768,0.822983865893656,-0.992708874098054,0.935016242685416,31.4807956895578,26.8348515882157,33.0221457328279,29.9031449096036,20.0720587061244,33.9606235177928,29.0965449146494,30.6875112926912,32.3430815893406,34.9396311689435,29.8293441581748,40.8188753944289,25.0803342160886,21.4163464207364,33.356935957921,30.0133489876737,31.4121195817899,31.4733765589814,33.6904103850663,20.0219600573813,29.7002567128022,23.4249778011182,25.2992309463673,32.8490870104184,29.7010927006113,34.0233437215519,35.7255793370807,27.9351293911603,30.4794775569209,31.944857424779,38.8622455202512,29.6912921531545,27.114222927602,29.7444930381768,26.0218701630569,29.7663466645818
1992,31,-0.822983865893656,0.354604887042536,0.239315664287556,-0.748510748171101,-0.568064746731156,0.935016242685415,-0.970941817426052,0.663122658240796,31.179375652515,26.8037467189899,33.0404280315335,29.8531297283287,20.038414101015,33.6595293669357,29.3437225492246,30.6849518329169,32.4321344576398,34.2917345629349,30.2289061298136,40.6129392845929,24.8864057778593,21.3604587678314,33.1298453325219,29.978485883592,31.2661213189669,31.5305564378087,33.614618630386,20.7826067696112,29.5996558052284,23.7415845935879,25.7867516037232,32.5787381471721,30.2130134214733,33.9953631362105,35.3575767353261,28.1025864313389,30.481946215701,31.9435769034456,38.5434974433514,29.6352931905173,27.1659514266396,29.9169241029632,26.6864294223657,29.6509312074295
1992,32,-0.748510748171101,0.120536680255324,0.568064746731156,-0.970941817426052,-0.663122658240795,0.992708874098054,-0.822983865893656,0.239315664287559,30.7370702205093,26.8571685280146,33.1197512980894,29.8861731499944,20.0348877237316,33.4719578390842,29.6283333375087,30.6816769148928,32.5645178011009,33.8898004711371,30.6759203986641,40.3690657820682,24.8940844807098,21.4281812569838,32.9766425617575,30.0284820067461,31.2114249066398,31.5406397121604,33.5221559032908,21.6703418782898,29.5963861906345,24.1491347789234,26.3700217616663,32.4246989151346,30.8291337274597,34.0330121370723,35.1612501417799,28.2723477702323,30.5749808256703,32.0406764484518,38.4096428637753,29.6587088933192,27.238819454119,30.1687580412257,27.4650696046632,29.5557790007239
1992,33,-0.663122658240795,-0.120536680255323,0.822983865893657,-0.970941817426052,-0.748510748171101,0.992708874098054,-0.568064746731155,-0.239315664287558,30.1676140660247,26.9846604177493,33.241188089771,29.9844978503077,20.0464812584619,33.4042448099811,29.9290352772567,30.6672330695023,32.7104330075648,33.7696168104019,31.1308611089603,40.0866713486859,25.0711945967229,21.5916310749585,32.8966117408979,30.1468552412254,31.2405044832686,31.5030473699286,33.4182295936113,22.6390007725535,29.6868916584585,24.6310424122274,27.0096671171156,32.3816293223443,31.5078102834555,34.1092327940507,35.1460416075388,28.4297832095765,30.7517804902408,32.2242879064016,38.4621359790383,29.7482340111926,27.3289276210965,30.4819323479871,28.3197919730447,29.462102665665
