"year","week","Afghanistan","Angola","Bangladesh","Benin","Bhutan","Burkina.Faso","Burundi","Cambodia","Central.African.Republic","Chad","Democratic.Republic.of.the.Congo","Djibouti","Eritrea","Ethiopia","Gambia","Guinea","Guinea.Bissau","Haiti","Laos","Lesotho","Liberia","Madagascar","Malawi","Mali","Mozambique","Nepal","Niger","Rwanda","Somalia","South.Sudan","Sudan","Togo","Uganda","United.Republic.of.Tanzania","Zambia","Yemen"
1980,1,-0.361979127,35.69581223,26.39707565,32.5542717,7.020750999,36.09859848,28.44108963,32.75330353,34.20919418,32.9080162,31.46278191,29.74147987,25.69888496,23.77428246,35.21004486,30.99406433,34.04060745,27.31482697,32.68531418,32.56330872,32.47601318,28.26633835,28.46270752,36.25896072,41.51670074,21.17305374,34.83151245,26.34036636,33.08527756,37.23971939,32.00456619,32.09063339,28.93211746,32.79883957,29.76062584,24.62649155
1980,2,1.563551307,30.1652813,25.08385468,32.14513397,9.630581856,37.35343552,29.24157333,31.19700813,33.22665405,36.41297531,31.46341896,29.63480568,25.41794777,25.52226257,34.47175217,34.47527313,33.29389191,26.5421524,31.61569405,32.71452332,31.96790695,27.60320854,26.94399261,35.77883148,31.76396751,22.88374329,38.78757858,26.28132439,31.66525269,37.2547493,30.91957664,32.09896851,29.50083351,31.55968475,28.58836365,24.61624908
1980,3,2.304785728,30.54117775,27.50969887,34.0003891,9.942782402,39.26766586,27.97477341,32.16970444,39.08301163,37.74474716,34.44882965,31.79119873,28.27038956,25.7140007,35.89166641,32.70417786,35.19400024,26.03725624,29.61302948,34.2795372,33.18030167,27.83617973,28.85368538,37.87303543,32.1356163,24.06235695,39.00353622,25.91050339,32.05810547,40.57654572,34.97810745,33.22940826,30.12508202,31.78917694,28.61744881,24.61333275
1980,4,1.537583828,30.91459846,27.36311722,33.94958878,10.93860817,39.19453049,28.77436256,30.82248306,33.60921478,35.27719498,32.43044662,33.20220566,27.86038208,27.61455154,35.11690521,35.16510391,35.26794434,27.1981411,33.14124298,30.02314377,33.28963852,27.26441193,29.93757057,38.29786682,32.85962677,26.23446083,37.93625641,26.21245575,33.31846237,40.57479858,36.91922379,33.49001694,30.99850273,31.51285362,29.7078228,25.57839203
1980,5,0.416384637,34.5726738,29.5718441,34.55263901,10.76914215,38.18233109,28.33068085,32.56308746,35.23573303,35.01200104,33.43877029,29.50404358,27.21949005,24.44694328,37.56481171,34.97103119,36.05285645,27.80844498,34.39023209,30.4240818,32.94032669,28.21236992,27.83854866,36.27489853,32.73246384,24.47723198,36.84634781,26.50382614,31.56635094,42.42475891,33.81284714,33.456604,29.25855637,29.75608635,26.73519325,25.42318726
1980,6,1.457777262,33.51370621,27.42009735,34.07997513,10.82958412,42.65353394,29.0969162,32.06467819,33.78915787,35.07207108,30.77032852,32.67602158,23.56052017,24.97520447,37.34169388,35.02059937,35.37508011,28.06644058,33.0473938,28.86008835,32.98233032,27.9215126,31.40060997,36.24193954,38.12596512,23.74808693,36.94475937,26.32849121,33.56729126,37.05568314,32.88895035,33.36998367,30.84655952,31.72367859,28.75940132,25.01123238
1980,7,3.356648922,32.74013519,30.14762688,34.02661896,14.23921204,38.16404724,30.15189171,32.49445343,35.98902893,35.6692543,32.42718124,30.32530403,27.19218826,24.93693542,38.45960236,32.97629929,37.41880417,28.1614399,31.43949318,32.747612,32.96886826,27.83084679,29.12342262,36.49288559,37.01741791,30.01979446,36.93907928,27.7382412,33.58309937,37.49803543,32.95440674,33.09611511,30.75326538,33.51858902,28.65083313,25.93513298
1980,8,6.652001858,31.86571693,30.32198715,34.68569946,14.40757751,40.02305222,30.77121735,31.68212891,36.56774139,38.40152359,34.36180878,31.1627388,26.32177353,24.6561718,36.4029808,32.18553925,33.26726532,29.02179146,34.39588928,29.46728325,32.9566803,28.68273544,29.9719429,38.05487823,33.20443726,28.10596085,39.92038345,28.59423447,33.61872101,38.67527771,35.49435806,35.20287704,31.92268753,34.0443573,28.73628426,26.44777298
1980,9,5.15789175,30.02329445,30.46360779,37.70779419,13.86067009,39.21054077,28.53875351,32.17517853,36.07976532,38.77393723,31.42599297,32.54359436,27.89640999,25.634655,36.2406311,32.75794983,35.215271,28.11055183,37.09239578,29.74152946,31.00936127,27.99290466,28.69732666,38.84531021,32.84706879,28.58370209,38.8964653,26.0191021,33.85675812,37.88431168,38.82491684,33.41912842,30.96751213,32.05415344,26.21425438,26.03115273
1980,10,9.796914101,31.45480728,31.46276665,34.27806473,14.18061256,40.19887924,30.29919815,33.02403641,37.03178406,38.83612442,33.47853851,30.74322319,26.9007473,24.62096405,37.1049881,32.88793564,36.08228683,27.16305923,38.47409058,28.57943153,32.93790436,28.44123459,28.97119713,38.64692307,31.89261818,29.91932869,39.88341522,28.00458717,33.90219879,39.64841843,38.69364166,33.40671158,30.66434097,29.85798264,26.4957428,27.81183052
