,SMB,HML,Regression L2_SMB_return,Regression L1_SMB_return,SVM_SMB_return,RF_SMB_return,MLP_SMB_return,KNN_SMB_return,LSTM_SMB_return,GB_SMB_return,AdaB_SMB_return,GRU_12_SMB_return,Regression L2_HML_return,Regression L1_HML_return,SVM_HML_return,RF_HML_return,MLP_HML_return,KNN_HML_return,LSTM_HML_return,GB_HML_return,Adab_HML_return,GRU_12_HML_return,Regression L2_SMB_or_HML_return,Regression L1_SMB_or_HML_return,SVM_SMB_or_HML_return,RF_SMB_or_HML_return,MLP_SMB_or_HML_return,KNN_SMB_or_HML_return,LSTM_SMB_or_HML_return,GB_SMB_or_HML_return,Adab_SMB_or_HML_return,GRU_12_SMB_or_HML_return
199002,0.0103,0.0061,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,0.0103,-0.0103,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0103,0.0061,0.0061,0.0061,0.0061,0.0061
199003,0.0152,-0.029,-0.0152,-0.0152,-0.0152,-0.0152,-0.0152,-0.0152,-0.0152,0.0152,-0.0152,-0.0152,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,0.0152,-0.029,-0.029,0.0152,-0.029,-0.029
199004,-0.005,-0.0255,0.005,0.005,0.005,-0.005,0.005,0.005,0.005,0.005,0.005,0.005,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.005,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255
199005,-0.0257,-0.0374,0.0257,0.0257,0.0257,0.0257,0.0257,0.0257,0.0257,-0.0257,0.0257,0.0257,-0.0374,-0.0374,-0.0374,-0.0374,-0.0374,-0.0374,-0.0374,0.0374,0.0374,-0.0374,-0.0374,-0.0374,-0.0374,-0.0374,-0.0257,-0.0374,-0.0374,-0.0374,-0.0374,-0.0374
199006,0.0143,-0.0194,0.0143,0.0143,0.0143,-0.0143,-0.0143,-0.0143,-0.0143,0.0143,-0.0143,-0.0143,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194,0.0194,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194
199007,-0.0321,-0.0001,0.0321,0.0321,0.0321,0.0321,-0.0321,0.0321,0.0321,0.0321,0.0321,0.0321,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
199008,-0.0358,0.0158,0.0358,0.0358,0.0358,0.0358,-0.0358,0.0358,0.0358,0.0358,-0.0358,0.0358,0.0158,0.0158,0.0158,0.0158,0.0158,-0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,-0.0358,0.0158
199009,-0.0367,0.0073,0.0367,0.0367,0.0367,0.0367,-0.0367,0.0367,0.0367,0.0367,0.0367,0.0367,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,-0.0367,0.0073,0.0073,0.0073,0.0073
199010,-0.0551,0.0022,0.0551,0.0551,0.0551,0.0551,-0.0551,0.0551,0.0551,0.0551,0.0551,0.0551,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,-0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,-0.0551,0.0022,0.0022,0.0022,0.0022
199011,0.0033,-0.0316,-0.0033,-0.0033,-0.0033,-0.0033,0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316
