Country,HDIIndex,2018Dependency,2018UrbanPop,2018MeanYrSchool,2016CO2PerCap,2018 Life Expectancy,2017InternetUsersPct,2017PctBasicDrinking,2018Unemployment
Turkmenistan,108,6.8,51.6,9.8,12.2,68.1,21.3,99,3.8
Uzbekistan,108,6.6,50.5,11.5,2.7,71.6,52.3,98,5.2
Libya,110,6.5,80.1,7.6,6.7,72.7,21.8,99,17.3
Indonesia,111,8.7,55.3,8,1.7,71.5,32.3,89,4.3
South Africa,113,8.1,66.4,10.2,7.4,63.9,56.2,93,27
Bolivia,114,11.7,69.4,9,1.8,71.2,43.8,93,3.3
Gabon,115,6,89.4,8.3,1.7,66.2,62,86,19.5
Egypt,116,8.6,42.7,7.3,2.2,71.8,45,99,11.4
Viet Nam,118,10.5,35.9,8.2,2,75.3,58.1,95,1.9
Iraq,120,5.7,70.5,7.3,3.8,70.5,49.4,97,7.9
Morocco,121,10.7,62.5,5.5,1.6,76.5,61.8,87,9
Kyrgyzstan,122,7.1,36.4,10.9,1.5,71.3,38,87,7.2
El Salvador,124,12.8,72,6.9,1.1,73.1,33.8,97,4.4
Tajikistan,125,5,27.1,10.7,0.6,70.9,22,81,10.9
Guatemala,126,7.9,51.1,6.5,1,74.1,65,94,2.7
Nicaragua,126,8.1,58.5,6.8,0.8,74.3,27.9,82,4.5
India,129,9.3,34,6.5,1.6,69.4,34.5,93,2.6
Namibia,130,6.1,50,6.9,1.7,63.4,51,83,23.1
Honduras,132,7.4,57.1,6.6,1,75.1,31.7,95,4.1
Bangladesh,135,7.7,36.6,6.1,0.5,72.3,15,97,4.3
Congo,138,4.8,66.9,6.5,0.5,64.3,8.7,73,10.4
Ghana,142,5.2,56.1,7.2,0.4,63.8,39,81,6.7
Myanmar,145,8.5,30.6,5,0.4,66.9,30.7,82,1.6
Cambodia,146,7.1,23.4,4.8,0.6,69.6,32.4,79,1.1
Kenya,147,4,27,6.6,0.3,66.3,17.8,59,9.3
Angola,149,4.3,65.5,5.1,0.7,60.8,14.3,56,7.3
Cameroon,150,5,56.4,6.3,0.3,58.9,23.2,60,3.4
Zimbabwe,150,5.4,32.2,8.3,0.7,61.2,27.1,64,4.9
Pakistan,152,7.1,36.7,5.2,0.8,67.1,15.5,91,3
Syrian Arab Republic,154,7,54.2,5.1,1.5,71.8,34.3,97,8.1
Nigeria,158,5.1,50.3,6.5,0.5,54.3,42,71,6
Tanzania,159,4.9,33.8,6,0.2,65,25,57,1.9
Benin,163,6,47.3,3.8,0.5,61.5,20,66,2.1
Ivory Coast,165,5.2,50.8,5.2,0.4,57.4,43.8,73,2.5
Senegal,166,5.7,47.2,3.1,0.5,67.7,46,81,6.5
Togo,167,5.1,41.7,5,0.3,60.8,12.4,65,1.7
Sudan,168,6.4,34.6,3.7,0.5,65.1,30.9,60,12.9
Haiti,169,8,55.3,5.4,0.3,63.7,12.3,65,13.5
Ethiopia,173,6.3,20.8,2.8,0.1,66.2,18.6,41,1.8
Yemen,177,5,36.6,3.2,0.3,66.1,26.7,63,12.9
Congo,179,5.9,44.5,6.8,0,60.4,8.6,43,4.2
Mozambique,180,5.5,36,3.5,0.3,60.2,10,56,3.2
South Sudan,186,6.2,19.6,4.8,0.2,57.6,8,41,12.7
Niger,189,5.5,16.4,2,0.1,62,10.2,50,0.3
